#nrNodes nrCollisions nrTransmissions OverallEnergy
1000 9643 144158 310.9661049600001
1000 12889 144297 427.62704544
1000 16179 143941 542.6460547200005
1000 19662 144402 660.8297606400007
1000 9709 72229 330.5430172799995
1000 8084 71940 271.2080447999997
100 96 7099 26.762662080000002
1000 8207 71939 271.2042748799995
1000 6291 71653 212.34509855999983
1000 7950 71709 270.3371932800003
1000 9953 72529 331.9159132799998
1000 4758 71973 155.25439775999993
1000 9310 143742 310.0687430399999
1000 12949 143941 426.57203231999904
1000 16458 143969 542.7516124800002
1000 19401 143996 658.9717747199999
100 414 14583 66.73647455999999
100 333 14305 53.928705599999965
100 419 14365 65.7388368
100 255 14500 42.971039999999995
100 160 14479 31.232940479999996
1000 18326 143774 310.1377708800001
1000 24892 143867 426.3527318399998
1000 30723 143941 542.6460547199999
1000 35852 143065 654.711220800001
2000 127613 288605 1320.7488336000015
2000 109367 288303 1086.8792457600005
2000 89565 286761 849.8219587200007
2000 69888 289109 623.6428060799993
1000 92 1914 6.006223872000028
1000 61 1999 5.167590912000028
1000 60 2030 4.125219840000037
1000 69 1943 3.948424704000037
1000 48 2037 3.013065216000012
1000 48 2011 2.9746068480000116
2000 213 3983 5.891526143999976
2000 241 3961 8.049259007999877
2000 217 4021 8.171186687999857
2000 277 4004 10.350692352000216
2000 337 4021 12.618091008000196
